,Week,Team,Player,Slot,Pos,Status,Proj,Actual
166,2,4,Ezekiel Elliott,2,RB,ACTIVE,21.697060164000003,20.0
167,2,4,Keenan Allen,4,WR,ACTIVE,18.3898028518,17.8
168,2,4,Dalvin Cook,2,RB,ACTIVE,15.903669794999999,28.099999999999998
169,2,4,Kenny Golladay,4,WR,ACTIVE,12.393973239,25.700000000000003
170,2,4,O.J. Howard,6,TE,ACTIVE,8.450672377999998,0.0
171,2,4,A.J. Green,20,Bench,QUESTIONABLE,0.0,0.0
172,2,4,Josh Gordon,20,Bench,OUT,11.589730865,3.9000000000000004
173,2,4,Russell Wilson,0,QB,ACTIVE,17.879610561,24.2
174,2,4,Stephen Gostkowski,17,K,QUESTIONABLE,8.182540561000001,6.0
175,2,4,Leonard Fournette,23,Flex,QUESTIONABLE,15.583707274,12.7
176,2,4,Ravens D/ST,16,Def,NA,9.538708694,5.0
177,2,4,Darren Waller,20,Bench,QUESTIONABLE,11.391620026,12.3
178,2,4,Danny Amendola,20,Bench,ACTIVE,9.4033775315,0.0
179,2,4,Drew Brees,20,Bench,ACTIVE,17.0164522983,-0.48
180,2,5,James Conner,2,RB,QUESTIONABLE,16.954790162000002,13.5
181,2,5,Julio Jones,4,WR,ACTIVE,19.132007059000003,27.6
182,2,5,Adam Thielen,4,WR,ACTIVE,15.362609969000001,12.5
183,2,5,Josh Jacobs,23,Flex,QUESTIONABLE,16.705936523000002,9.9
184,2,5,Robert Woods,4,WR,ACTIVE,14.424464042500002,6.2
185,2,5,Mark Ingram II,2,RB,ACTIVE,12.827068136000001,9.7
186,2,5,Mike Williams,20,Bench,ACTIVE,9.9709293138,11.3
187,2,5,Evan Engram,6,TE,QUESTIONABLE,12.629873858500002,10.8
188,2,5,David Montgomery,20,Bench,ACTIVE,9.995138243,13.799999999999999
189,2,5,Cam Newton,20,Bench,QUESTIONABLE,19.030975859,11.32
190,2,5,Jaguars D/ST,16,Def,NA,6.855366634000001,10.0
191,2,5,Jake Elliott,17,K,ACTIVE,8.403043547000001,7.0
192,2,5,Lamar Jackson,0,QB,ACTIVE,19.894536092000003,30.880000000000003
193,2,5,Justin Jackson,20,Bench,ACTIVE,9.210039426,7.4
194,2,5,John Ross III,20,Bench,ACTIVE,11.587276209899999,21.200000000000003
195,2,6,Todd Gurley II,2,RB,ACTIVE,13.740985384,15.700000000000001
196,2,6,Michael Thomas,4,WR,ACTIVE,18.462936074,18.9
197,2,6,Patrick Mahomes,0,QB,ACTIVE,24.763503267000004,31.619999999999997
198,2,6,Amari Cooper,4,WR,ACTIVE,14.04726632,14.4
199,2,6,Cooper Kupp,20,Bench,ACTIVE,13.1845168129,17.6
200,2,6,Chris Carson,2,RB,QUESTIONABLE,15.233578944000001,9.7
201,2,6,Sammy Watkins,4,WR,ACTIVE,15.6444827543,10.9
202,2,6,Jared Cook,6,TE,ACTIVE,10.481514941,4.5
203,2,6,Bills D/ST,20,Bench,NA,5.980718088,6.0
204,2,6,Miles Sanders,20,Bench,QUESTIONABLE,9.504738565999999,6.700000000000001
205,2,6,Wil Lutz,17,K,ACTIVE,7.869859291999999,12.0
206,2,6,Devonta Freeman,23,Flex,ACTIVE,15.768509144999998,9.4
207,2,6,Devin Singletary,20,Bench,ACTIVE,10.868804861,11.7
208,2,6,Patriots D/ST,16,Def,NA,7.345393583,36.0
209,2,6,John Brown,20,Bench,ACTIVE,10.00093261,14.2
210,2,7,Christian McCaffrey,2,RB,ACTIVE,25.12085851,7.300000000000001
211,2,7,JuJu Smith-Schuster,4,WR,ACTIVE,16.287725085,13.4
212,2,7,Kerryon Johnson,2,RB,ACTIVE,14.518535167000001,16.8
213,2,7,Tyler Boyd,4,WR,ACTIVE,12.862739741800002,22.200000000000003
214,2,7,Matt Ryan,0,QB,ACTIVE,19.2581800994,19.1
215,2,7,Sterling Shepard,20,Bench,ACTIVE,0.0,0.0
216,2,7,Stefon Diggs,23,Flex,ACTIVE,14.6338776675,9.9
217,2,7,Duke Johnson,20,Bench,ACTIVE,11.755089366,3.1
218,2,7,Kyler Murray,20,Bench,ACTIVE,15.324695575,16.36
219,2,7,Joe Mixon,20,Bench,ACTIVE,14.839322041000003,5.7
220,2,7,Odell Beckham Jr.,4,WR,QUESTIONABLE,17.044761357499997,28.1
221,2,7,T.J. Hockenson,6,TE,QUESTIONABLE,9.138019632999999,1.7000000000000002
222,2,7,Larry Fitzgerald,20,Bench,ACTIVE,11.872501044000002,15.4
223,2,7,Panthers D/ST,16,Def,NA,7.079617660999999,7.0
224,2,7,Joey Slye,17,K,ACTIVE,7.6064396709999995,16.0
225,2,8,David Johnson,2,RB,ACTIVE,17.835364303,8.4
226,2,8,Davante Adams,4,WR,ACTIVE,16.217662293,17.6
227,2,8,Nick Chubb,2,RB,ACTIVE,18.529737393,19.8
228,2,8,George Kittle,6,TE,ACTIVE,15.58416001,8.4
229,2,8,Damien Williams,23,Flex,ACTIVE,13.885573442000002,8.600000000000001
230,2,8,Chris Godwin,4,WR,QUESTIONABLE,14.35112271,26.1
231,2,8,Alshon Jeffery,20,Bench,QUESTIONABLE,13.010422222,0.0
232,2,8,Aaron Rodgers,0,QB,ACTIVE,17.147755214,14.36
233,2,8,Phillip Lindsay,20,Bench,QUESTIONABLE,13.088183646999997,10.6
234,2,8,Christian Kirk,20,Bench,ACTIVE,11.2274643158,17.4
235,2,8,Dede Westbrook,20,Bench,ACTIVE,10.8116786765,1.3
236,2,8,Ka'imi Fairbairn,17,K,ACTIVE,9.257032068,7.0
237,2,8,Vikings D/ST,16,Def,NA,5.998254913,6.0
238,2,8,Michael Gallup,4,WR,ACTIVE,10.320334534999999,12.8
239,2,8,LeSean McCoy,20,Bench,ACTIVE,11.649896307,5.300000000000001
240,3,1,Alvin Kamara,2,RB,ACTIVE,19.382671975,37.1
241,3,1,Travis Kelce,6,TE,ACTIVE,18.276439655,15.9
242,3,1,Antonio Brown,20,Bench,ACTIVE,0.0,
243,3,1,T.Y. Hilton,4,WR,ACTIVE,13.288835086,20.5
244,3,1,Brandin Cooks,4,WR,ACTIVE,12.7663328408,20.0
245,3,1,Marlon Mack,2,RB,ACTIVE,13.967378835000003,16.8
246,3,1,Calvin Ridley,4,WR,QUESTIONABLE,12.2712406482,1.6
247,3,1,Greg Zuerlein,17,K,ACTIVE,9.376310512,9.0
248,3,1,Emmanuel Sanders,23,Flex,ACTIVE,13.082233647699999,3.0
249,3,1,Matt Breida,20,Bench,ACTIVE,10.229950148,10.8
250,3,1,Tyrell Williams,20,Bench,QUESTIONABLE,13.054501167000002,11.9
251,3,1,Chris Thompson,20,Bench,ACTIVE,11.649975486,14.8
252,3,1,Terry McLaurin,20,Bench,QUESTIONABLE,11.815380002,19.0
